Manufacturer,Type,Codename,Cu/Al strand count (no),Cu/Al strand wire diameter (mm),Steel strand count (no),Steel strand wire diameter (mm),Layer Construction,Cross sectional area (mm�),Nominal overall diameter (mm),Approximate mass (kg/m),Breaking load (kN),Modulus of elasticity (GPa),Coefficient of linear expansion (�10e-6/deg. C),DC resistance at 20 deg. C (ohm/km),AC resistance  at 50Hz 75 deg. C (ohm/km),Inductive reactance to 0.3m at 50 Hz (ohm/km),DC resistance  at 50Hz 75 deg. C (ohm/km),Geometric mean radius (mm),"Continuous current carrying capacity, Rural weathered, Winter night, Still air","Continuous current carrying capacity, Rural weathered, Winter night, 1m/s wind","Continuous current carrying capacity, Rural weathered, Winter night, 2m/s wind","Continuous current carrying capacity, Rural weathered, Summer noon, Still air","Continuous current carrying capacity, Rural weathered, Summer noon, 1m/s wind","Continuous current carrying capacity, Rural weathered, Summer noon, 2m/s wind","Continuous current carrying capacity, Industrial weathered, Winter night, Still air","Continuous current carrying capacity, Industrial weathered, Winter night, 1m/s wind","Continuous current carrying capacity, Industrial weathered, Winter night, 2m/s wind","Continuous current carrying capacity, Industrial weathered, Summer Noon, Still air","Continuous current carrying capacity, Industrial weathered, Summer Noon, 1m/s wind","Continuous current carrying capacity, Industrial weathered, Summer Noon, 2m/s wind"
Prysmian,AAC,TROJANS,61,3.00,,,,431,27.0,1192,66.0,64,23,0.0671,0.082,0.212,,10.42,715,1045,,479,878,,796,1102,,422,848,
Prysmian,AAC,URANUS,61,3.25,,,,506,29.3,1400,75.2,64,23,0.0572,0.071,0.207,,11.29,801,1158,,533,967,,892,1222,,468,933,
Prysmian,AAC,URSULA,61,3.50,,,,587,31.5,1620,87.3,64,23,0.0593,0.061,0.202,,12.16,863,1247,,589,1058,,993,1347,,478,868,
Prysmian,AAC,VENUS,61,3.75,,,,674,33.8,1860,97.2,64,23,0.0429,0.054,0.198,,13.03,982,1391,,646,1150,,1097,1474,,563,1106,
Prysmian,AAC,VIRGO,91,4.50,,,,1450,49.5,4010,207,64,23,0.020,0.027,0.174,,19.16,1690,2321,,1073,1828,,1899,2477,,915,1740,
Prysmian,AAAC/1120,CHLORINE,7,2.50,,,,34.4,7.5,94.3,8.2,65,23,0.864,1.050,0.296,,2.72,122,207,,93,185,,133,213,,87,182,
Prysmian,AAAC/1120,CHROMIUM,7,2.75,,,,41.6,8.3,113,9.9,65,23,0.713,0.866,0.290,,2.99,139,233,,105,208,,146,234,,98,200,
Prysmian,AAAC/1120,FLUORINE,7,3.00,,,,49.5,9.0,135,11.8,65,23,0.601,0.731,0.285,,3.27,156,260,,117,231,,170,268,,109,227,
Prysmian,AAAC/1120,HELIUM,7,3.75,,,,77.3,11.3,212,17.6,65,23,0.383,0.468,0.272,,4.08,211,345,,155,304,,231,358,,142,298,
Prysmian,AAAC/1120,HYDROGEN,7,4.50,,,,111,13.5,304,24.3,65,23,0.266,0.325,0.260,,4.90,270,435,,194,380,,297,452,,176,371,
Prysmian,AAAC/1120,IODINE,7,4.75,,,,124,14.3,339,27.1,65,23,0.239,0.292,0.256,,5.17,290,466,,207,405,,320,484,,188,396,
Prysmian,AAAC/1120,KRYPTON,19,3.25,,,,158,16.3,433,37.4,65,23,0.189,0.231,0.245,,6.16,345,542,,240,469,,381,565,,216,457,
Prysmian,AAAC/1120,LUTETIUM,19,3.50,,,,183,17.5,503,41.7,65,23,0.163,0.198,0.241,,6.63,383,596,,265,513,,423,622,,238,500,
Prysmian,AAAC/1120,NEON,19,3.75,,,,210,18.8,576,47.8,65,23,0.142,0.174,0.236,,7.10,422,651,,291,558,,467,680,,261,543,
Prysmian,AAAC/1120,NITROGEN,37,3.00,,,,262,21.0,721,62.2,64,23,0.114,0.140,0.228,,8.06,494,749,,338,638,,548,784,,301,620,
Prysmian,AAAC/1120,NOBELUM,37,3.25,,,,307,22.8,845,72.8,64,23,0.0973,0.119,0.223,,8.73,553,829,,376,703,,614,869,,334,682,
Prysmian,AAAC/1120,OXYGEN,19,4.75,,,,337,23.8,924,73.6,65,23,0.0884,0.109,0.221,,9.00,591,879,,400,744,,656,924,,354,721,
Prysmian,AAAC/1120,PHOSPHORUS,37,3.75,,,,409,26.3,1120,93.1,64,23,0.0731,0.090,0.214,,10.08,677,994,,455,836,,753,1047,,401,808,
Prysmian,AAAC/1120,RHODIUM,61,3.00,,,,431,27.0,1192,97.0,64,23,0.0694,0.085,0.212,,10.42,703,1028,,471,863,,783,1083,,415,834,
Prysmian,AAAC/1120,SELENIUM,61,3.25,,,,506,29.3,1400,114,64,23,0.0592,0.073,0.207,,11.29,788,1138,,524,951,,877,1202,,460,917,
Prysmian,AAAC/1120,SILICON,61,3.50,,,,587,31.5,1620,127,64,23,0.0511,0.063,0.202,,12.16,874,1250,,578,1039,,975,1323,,506,1001,
Prysmian,AAAC/1120,SULPHUR,61,3.75,,,,674,33.8,1860,145,64,23,0.0444,0.056,0.198,,13.03,966,1368,,635,1131,,1078,1449,,553,1087,
Prysmian,AAAC/1120,XENON,91,4.50,,,,1450,49.5,4010,300,64,23,0.0207,0.028,0.174,,19.16,1662,2282,,1055,1797,,1866,2435,,899,1710,
Prysmian,ACSR/GZ,QUINCE,3,1.75,4,1.75,3/4,16.8,5.3,96,12.7,136,13.9,3.250,4.050,0.382,,0.70,54,94,,43,85,,58,87,,40,84,
Prysmian,ACSR/GZ,RAISIN,3,2.50,4,2.50,3/4,34.3,7.5,193,24.4,136,13.9,1.590,2.020,0.360,,1.00,87,147,,67,132,,95,152,,62,130,
